Title,Poem,Poet,Tags,Cluster
Stung,"She couldn't help but sting my finger,\n\nclinging a moment before I flung her\n\nto the ground. Her gold is true, not the trick\n\nevening light plays on my roses.\n\nShe curls into herself, stinger twitching,\n\ngilt wings folded. Her whole life just a few weeks,\n\nand my pain subsided in a moment.\n\nIn the cold, she hardly had her wits to buzz.\n\nNo warning from either of us:\n\nshe sleeping in the richness of those petals,\n\nthen the hand, my hand, cupping the bloom\n\nin devastating force, crushing the petals for the scent.\n\nAnd she mortally threatened, wholly unaware\n\nthat I do this daily, alone with the gold last light,\n\nin what seems to me an act of love.",Heid E. Erdrich,,1
Nothing But Good...,"I will not speak ill of Jack Flick.\n\nI will rarely look\n\nat the scar he made on my cheek\n\none summer at the lake.\n\nI won't speak ill of Jack whose freckles\n\nand gangly legs are gone.\n\nSo is the drained face I saw when he saw\n\nwhat he'd done with a sharp rock\n\nnonchalantly skipped.\n\nI will speak well, for it was somewhat\n\nsweet to lie on the dock while Jack\n\nand his friends bent down\n\nand wiped my face with a sandy towel.\n\nI will speak well of them,\n\nfor most are gone\n\nand the wound proved small.\n\nI will speak well, for the rock\n\nmissed my eye. I can hardly find\n\nthe scar. Jack went into the air\n\ncorps, fought in one of the wars,\n\nretired, and lived less than a year\n\nbefore his tender heart gave out.\n\nI will speak well of Jack.",Sarah White,,5
How Quiet,"How quiet is the spruce,\n\nthe wind twills\n\nthrough the uppermost tier\n\nof splayed leaves.\n\nNow the song of a bird\n\nlike the squeaky lock\n\nover a canoe's oar,\n\nfollowed by startling chirps,\n\nthe sky pushing its clouds\n\nlike sailboats,\n\nand I think, what kind of God\n\nkeeps himself secret\n\nso that to find him out\n\nwe have to seek, as children do\n\nfor something like the beetle\n\nscuttling between grass,\n\nhidden in plain sight.",Judith Harris,,1
Porcupine,"You think we are the pointed argument,\n\nthe man drunk at the party showing off\n\nhis gun collection, the bed of nettles.\n\n \n\nWhat we really are is hidden from you:\n\ngirl weeping in the closet among her stepfather's boots;\n\ntuft of rabbit fur caught in barbed wire; body of the baby\n\nin the landfill; boy with the shy mouth playing his guitar\n\nat the picnic table, out in the dirt yard.\n\n \n\nWe slide into this world benign and pliable,\n\nquills pressed down smooth over back and tail.\n\nOnly one hour here stiffens the barbs into thousands\n\nof quick retorts. Everything this well-guarded\n\nremembers being soft once.",Kelly Madigan,,0
Summer Apples,"I planted an apple tree in memory\n\nof my mother, who is not gone,\n\n \n\nbut whose memory has become\n\nso transparent that she remembers\n\n \n\nslicing apples with her grandmother\n\n(yellow apples; blue bowl) better than\n\n \n\nthe fruit that I hand her today. Still,\n\nshe polishes the surface with her thumb,\n\n \n\nholds it to the light and says with no\n\nhesitation, Oh, Yellow Transparent . . . \n\n they're so fragile, you can almost seeto the core. She no longer remembers how\n\n \n\nto roll the crust, sweeten the sauce, but\n\nher desire is clear—it is pie that she wants.\n\n \n\nAnd so, I slice as close as I dare to the core—\n\nto that little cathedral to memory—where\n\n \n\nthe seeds remember everything they need\n\nto know to become yellow and transparent.\n\n \n\n ",Cathryn Essinger,,0
Visiting the Neighborhood,"The entrance at the back of the complex\n\nled onto a road, where an upended couch\n\ntilted into a ditch and a washing machine\n\ngleamed avocado beneath pine needles.\n\n \n\nFrom the end, you turned left and left again,\n\nthen cut a trail to find the cul-de-sac\n\nof bright brick houses. We\'d walk as far\n\nas we dared before a man pushing a mower\n\n \n\nmight stop to ask, ""whadda you boys need?""\n\nThat was a question we could never answer.\n\nI loved the name of the place, White Hall,\n\nimagined that each interior was a stretch\n\n \n\nof marble perfect wall adorned by smiling\n\nphotos of the family. Our own halls\n\nwere brailled with nail holes of former\n\ntenants, the spackled rounds of fists.\n\n \n\nBut doesn\'t longing clarify the body?\n\nThe boys I left behind: Tommy, wearing\n\nthe World War II trenching tool;\n\nDanny, whose father, so much older\n\n \n\nthan the other parents, died in his recliner\n\none sunny afternoon while watching baseball;\n\nDuke, who stole his mother\'s car and crashed\n\ninto a wall. Boys who knew when you were posing,\n\n \n\nwaiting for someone to say, ""smile."" Boys\n\nwho, on those latch-key days, held themselves\n\nin narrow passages when no one\n\nwas there to show them what to do. \n\n ",P. Ivan Young,,0
scars,my father’s body is a map\n\na record of his journey\n\n \n\nhe carries a bullet\n\nlodged in his left thigh\n\nthere is a hollow where it entered\n\na protruding bump where it sleeps\n\nthe doctors say it will never awaken\n\n \n\nit is the one souvenir he insists on keeping\n\nmother has her own opinionsbố cùa con điên—your father is crazy\n\n \n\nas a child\n\ni wanted a scar just like my father’s\n\nbold and appalling     a mushroom explosion\n\nthat said i too was at war\n\ninstead i settled for a grain of rice\n\na scar so small look closely there\n\nhere between the eyes\n\na bit to the right\n\nthere on the bridge of my nose\n\n \n\nfather says i was too young to remember\n\nit happened while i was sleeping\n\nleaking roof the pounding rain\n\ndrop after drop after drop\n\n ,Truong Tran,"The Body,Family & Ancestors",1
what remains two,it has long been forgotten this practice of the mother\n\nweaning a child she crushes the seeds of a green\n\nchili rubs it to her nipple what the child feels\n\nshe too will   share in this act   of love\n\nmy own mother says it was not meant\n\nto be cruel when cruelty she tells me\n\nis a child’s lips   torn from breast as proof\n\nback home the women wear teeth marks\n\n ,Truong Tran,"Infancy,Parenthood,The Body",0
West of Myself,"Why are you still seventeen\n\nand drifting like a dog after dark,\n\ndragging a shadow you’ve found?\n\n \n\nPut it back where it belongs,\n\nand that bend of river, too. That’s not the road\n\nyou want, though you have it to yourself.\n\n \n\nGone are the cars that crawl to town\n\nfrom the reactors, a parade of insects, metallic,\n\nfuming along the one four-lane street.\n\n \n\nThe poplars of the shelterbelt lean away\n\nfrom the bypass that never had much to pass by\n\nbut coyote and rabbitbrush.\n\n \n\nPinpricks stabbed in a map too dark to read—\n\nI stared at stars light-years away.\n\nListen. That hissing? Just a sprinkler\n\n \n\ndamping down yesterday until it’s today.\n\nThe cottonwoods shiver, or I do,\n\nevery leaf rustling as if it’s the one\n\n \n\nabout to tear itself, not I.\n\nMemory takes the graveyard shift.\n\n ",Debora Greger,Coming of Age,0
Yes,"Yes, your childhood now a legend of fountains\n\n                                                         —jorge gullén\n\n\n\n\n\n\n\nYes, your childhood, now a legend\n\ngone to weeds, still remembers the gray road\n\nthat set out to cross the desert of the future.\n\n \n\nAnd how, always just ahead,\n\ngray water glittered, happy to be just a mirage.\n\nWho steps off the gray bus at the depot?\n\n \n\nSidewalks shudder all the way home.\n\nBlinds close their scratchy eyes.\n\nWho settles in your old room?\n\n \n\nSniffy air sprawls as if it owns the place,\n\nand now your teenage secrets have no one to tell.\n\nFor the spider laying claim to the corner,\n\n \n\nthere is a stickiness to spin, that the living may beg\n\nto be wrapped in silk and devoured,\n\nleaving not even the flinch from memory.",Debora Greger,"Coming of Age,Youth",0
Bounden Duty,"I got a call from the White House, from the\n\nPresident himself, asking me if I’d do him a personal\n\nfavor. I like the President, so I said, “Sure, Mr.\n\nPresident, anything you like.” He said, “Just act\n\nlike nothing’s going on. Act normal. That would\n\nmean the world to me. Can you do that, Leon?” “Why,\n\nsure, Mr. President, you’ve got it. Normal, that’s\n\nhow I’m going to act. I won’t let on, even if I’m\n\ntortured,” I said, immediately regretting that “tortured”\n\nbit. He thanked me several times and hung up. I was\n\ndying to tell someone that the President himself called\n\nme, but I knew I couldn’t. The sudden pressure to\n\nact normal was killing me. And what was going on\n\nanyway. I didn’t know anything was going on. I\n\nsaw the President on TV yesterday. He was shaking\n\nhands with a farmer. What if it wasn’t really a\n\nfarmer? I needed to buy some milk, but suddenly\n\nI was afraid to go out. I checked what I had on.\n\nI looked “normal” to me, but maybe I looked more\n\nlike I was trying to be normal. That’s pretty\n\nsuspicious. I opened the door and looked around.\n\nWhat was going on? There was a car parked in front\n\nof my car that I had never seen before, a car that\n\nwas trying to look normal, but I wasn’t fooled.\n\nIf you need milk, you have to get milk, otherwise\n\npeople will think something’s going on. I got into\n\nmy car and sped down the road. I could feel those\n\nlittle radar guns popping behind every tree and bush,\n\nbut, apparently, they were under orders not to stop\n\nme. I ran into Kirsten in the store. “Hey, what’s\n\ngoing on, Leon?” she said. She had a very nice smile.\n\nI hated to lie to her. “Nothing’s going on. Just\n\ngetting milk for my cat,” I said. “I didn’t know\n\nyou had a cat,” she said. “I meant to say coffee.\n\nYou’re right, I don’t have a cat. Sometimes I\n\nrefer to my coffee as my cat. It’s just a private\n\njoke. Sorry,” I said. “Are you all right?” she\n\nasked. “Nothing’s going on, Kirsten. I promise\n\nyou. Everything is normal. The President shook\n\nhands with a farmer, a real farmer. Is that such\n\na big deal?” I said. “I saw that,” she said, “and\n\nthat man was definitely not a farmer.” “Yeah, I\n\nknow,” I said, feeling better.\n\n ",James Tate,"Humor & Satire,History & Politics",7
History,"Of course wars, of course lice, of course limbs on opposing sides\n\nto remind a body about ambivalence, of course orphans and empty beds and eyes\n\nexiled for blinking in the harsh light. Of course Khrushchev gave Crimea\n\nto the Ukraine in a blind drunk, and yes, land mines and burning skin\n\nand of course organs, some members dismembered\n\nto shake at strangers and their evil, and there is no way\n\nto imagine that a man shaking a dried penis would ever utter the word darling.\n\nOf course personal, add starch for pain, add bluing, of course hang\n\nthe laundry in the basement, there are thieves in the backyard, of course\n\ndeparting trains, carload after carload of sorrow,\n\nthe man on top of a boxcar waving,\n\nhis rifle silhouetted against the white sky, its color draining\n\nthe way warmth left the Bosnian after he’d burned the last page of the last book,\n\nknowing he had reached the end of something though it was not end enough.\n\nOf course kisses, the stages of kissing like running borders,\n\nendless conversations, stations of the cross, till even the promise of kissing bores you,\n\nof course teeth gnashing, ethnic cleansing. The cynical will shrug off the past,\n\nthe future, the whole left hip of Ecuador slashed for six days of oil,\n\nof course an X on the coats of the sick so they would stand apart\n\nfor deportation, of course rogue tumors over the body politic,\n\nthe same bodies that took Egyptian mummies and powdered them\n\nto use as food seasoning, bon vivant cannibalism,\n\nand yes civilized men tossed living penguins into furnaces to fuel their ships.\n\nOf course partitions so that after the new territories were defined,\n\nfamilies had to line up on a cliff with bullhorns\n\nto talk to their people on the other side,\n\nof course courage, at times a weapon against yearning, surrender another,\n\na mother of course goes on setting the table, even if it’s with broken plates,\n\nand a friend will say gently of course I want to ride with you to the funeral,\n\nof course of course of course of course,\n\nnow then, negotiations, whatever,\n\npalisades, the end of whimsy,\n\nbut then one evening though it is wartime,\n\na man climbs the hill to an amphitheater to play his cello at twilight\n\nand history stops talking for a moment and sighs\n\nwhile the melancholy of Albinoni\n\npasses from heart to heart and each lifts a little,\n\nthe way passing a baby around a room can be sacramental,\n\nand the memories of simple pleasures become more beautiful, the memory\n\nof your joy on a highway to see in the next lane in a neighboring car\n\na clown take off his nose at the end of the day, the memory\n\nof how your mother laid roses, sweetheart roses, on the cold grate of the fireplace,\n\nand the sudden rain one afternoon in fall after you’d hiked far into the dells\n\nand you huddled deep in your overcoat in the wet,\n\nwaiting out the storm with a sheep\n\nthat had come up to lean against your side\n\nlike a rock.\n\n ",Barbara Ras,"History & Politics,War & Conflict",0
What It Was Like,"If they ask what it was like, say it was like the sea\n\nrolling barrels of itself at you in the shadowless light of the shore,\n\nsay it was like a spider, black as night, large as a campesino’s hand,\n\na deepness that could balance a small world of dirt as easily as a gift\n\nof gleaming red tomatoes held out to you eight at a time.\n\nIf they ask you how it felt, say solitary,\n\nat first the ease of sleeping alone, warm without even a sheet,\n\nthen the nonchalance of a dirt road leading down the hill, its dust\n\nraised and re-raised in plumes as each guest departed,\n\nand later, say it was like the blind cat that came out of nowhere\n\nto lie on your tile floor, lifting its face to stare with white marble eyes.\n\nIf they ask what you heard, tell them the single note of the watchman,\n\nwho coughed his one syllable when you went to bed,\n\nand at the end of every dream when you woke with a simple plea—stay, go—again, the cough of the watchman.\n\nIf they ask about thirst, tell them no one could carry water as far\n\nas it had to go, so that when it was time to rest,\n\npeople went to the spigot at the edge of the train tracks\n\nand cupped their hands under the water, lowering their faces to drink.\n\nTell them a man could stand at noon in the park wearing nothing but underwear\n\nand beg for hours with his cup empty.\n\nTell them you could sit quietly while phrases you didn't know you knew\u2028\n\nrose up in the language there and on an undisturbed lake in your mind\u2028\n\nyou could back float—that weightless prayer that prays\u2028Let me die with my toes pointing up at the sun.\n\nWhen they ask what people will eventually get around to asking,\u2028\n\nHow was the food? Tell them batata, mamón, guanábana, maní,\n\nindigenous crops exchanging places with hunger,\n\ngiving up to the dark store window whose inventory is one hand\n\nof bananas sold one banana at a time, giving up to little pyramids of limes\n\nby the side of the road and the kids who tend them, dreaming\n\nof a few coins tossed down in the dirt.\n\n ",Barbara Ras,Money & Economics,0
All,"The prisoner can’t go any longer, but he does.\n\nThe beggar can’t go on begging, but watch—\n\nTomorrow he’ll be in the alley, holding out a bowl\n\nTo everyone, to even a young, possibly poorer, child.\n\nThe mother can’t go on believing,\n\nBut she will kneel for hours in the cathedral,\n\nHolding silence in her arms.\n\nThe rain goes on, daily, sometimes, and we cry,\n\nAs often as not alone.\n\nThe fishmonger, the bell ringer, the cook, each\n\nCan be corrupted in a less than dire way.\n\nNothing can replace the sea breezes you were born to.\n\nNothing can stay the shy ache in the palm\n\nyou hold out to the fortune-teller.\n\nThe concrete lions on her steps go on\n\nMaking bloodless journeys, they go on\n\nHunting in air longer than any of you will live to watch,\n\nHunting still after your futures become all irises\n\nand blamelessness.\n\n ",Barbara Ras,"Life Choices,Faith & Doubt",0
Sleeping with Butler’s Lives of the Saints,"After Octavio Paz\n\n\n\n\n\n\n\nWhat’s most human must drive\n\nan arrow to the heart.\n\n \n\nGhosts, too, must abide by this directive\n\n& remain transparent,\n\n \n\ngoing about their business in old houses.\n\nBefore I was an I, I longed to be ethereal.\n\n \n\nSprouting wings at will & gliding through\n\ncul-de-sacs and malls around the valley.\n\n \n\nMy hands, too, would gradually disappear\n\nfollowed by my arms, then neck & head\n\n \n\nuntil my whole body was slight as allergen.\n\nBefore I was an I, I spoke an old language\n\n \n\nthat would return on drowsy afternoons.\n\nTherefore I struggled to say\n\n \n\nthe simplest sentences. So much so\n\nthat the maligned semicolon\n\n \n\nbecame an ardent ally, an island\n\nof pause and the deep breath.\n\n \n\nThe comma, too, bless its tiny soul,\n\nwas the crumb which the god\n\n \n\nof small favors multiplied\n\ntenfold for my morning pie.\n\n \n\nBefore I was an I, knowledge\n\nclung to me like burrs & hunger\n\n \n\nguided my ship like the barefoot light                on the sleeping land & sea.\n\n ",Eugene Gloria,"Language & Linguistics,Poetry & Poets",0
Hoodlum Birds,"The fearless blackbirds see me again\n\nat the footpath beside the tall grasses\n\nsprouting like unruly morning hair.\n\nThey caw and caw like vulgar boys\n\non street corners making love to girls\n\nwith their “hey mama\n\nthis” and their “hey mama that.”\n\nBut this gang of birds is much too slick.\n\nThey are my homeys of the air\n\nwith their mousse-backed hair and Crayola\n\nblack coats like small fry hoods who smoke\n\nand joke about each other’s mothers,\n\nvirginal sisters, and the sweet arc of revenge.\n\nThese birds spurn my uneaten celery sticks,\n\nfeckless gestures, ineffective hosannas.\n\nThey tag one another, shrill and terrible,\n\ncaroling each to each my weekly wages.\n\nBut they let me pass, then flit away.\n\nThey won’t mess with me this time—\n\nthey know where I live.\n\n ",Eugene Gloria,Animals,1
Wilde's Tomb,"But these, thy lovers are not dead.…They will rise up and hear your voice. . .. and run to kiss your mouth.\n\n\n         –The Sphinx\n\n\n\n\n\n\n\nIn the garden of Père Lachaise,\n\ncity of the dead, we passed angels\n\ncovering their faces in shame,\n\n& nineteenth-century trees, with tops bowed\n\nas if their only purpose was to grieve,\n\n& crossed the Transversales to Wilde’s grave.\n\n \n\nWhen lovers leave, they leave their kisses\n\nglistening on the gray slab,\n\non impressions of lips themselves,\n\na tissue of strangers’ cells\n\nthe conservators cannot leave alone,\n\n& scrub the graffiti, as the plaque decrees\n\nby law, no one can deface this tomb,\n\n& still the images of lips remain,\n\ndark gray stains of animal fat\n\nimprisoned in limestone.\n\n \n\nLips are pressed as high as lovers\n\nclimb, against the Sphinx’s ridiculous\n\nheaddress, on the carved trumpet\n\nof fame, & on the cheeks of its voracious face\n\nof mindless passion flying with eyes pinched tight,\n\nthat some farsighted lover tried to open\n\nwith lines from a red pen, like a blepharoplasty,\n\nwhile others kissed its sybaritic mouth\n\nto make a poem a prophecy.\n\n \n\nSo here is love alive\n\nsurviving the wreckage it survives,\n\na lipstick envelope of hearts on their flight\n\nto some other place, less aware,\n\nmore receiving, a final Champ de Grâce.\n\n ",Michael Gessner,Poetry & Poets,3
The Poem of Death,"This is the poem of death.\n\nThere is only one\n\nand no other.\n\n \n\nEvery one is an occasion,\n\none way or another,\n\nand the last poem is this poem of death.\n\n \n\nIt is an occasion like no other.\n\nI will no longer lope after elegance,\n\nbeauty’s body, or love’s wonder.\n\n \n\nI will be sorry for everything\n\nI was, and for everything I was not.\n\nI speak to you as if you were my brother.\n\n \n\nI will forgive everyone.\n\nDeath will make this possible.\n\nThere will be no other.\n\n \n\nDeath was in the mind\n\nbefore thought or love,\n\nin ourselves, and in our lovers.\n\n \n\nThe poem of death is speechless.\n\nA companion will appear again\n\nlike another self, like your brother.\n\n \n\nEnough now, enough has been said.\n\nThe spinning leaf will spin\n\nlike no other.\n\n ",Michael Gessner,Death,1
The Innocents at Sandy Hook,"Nothing can reach you now, not lead or steel,\n\nor what life itself eventually reveals.\n\n \n\nNo more studies of kindness or courtesy,\n\nnor grace or charity, all is needless now.\n\n \n\nAll is needless now, sky, world, family\n\ngrieving for their bundles of purity,\n\n \n\nnow beyond disgrace, failure, winter streets,\n\nor whatever attacks, and then retreats.\n\n \n\nClassrooms emptied of children’s things,\n\npaper and paste, and love’s imaginings,\n\n \n\nbundles of peace, Christmas-blessed\n\nwith the unborn and the dead at rest,\n\n \n\nnothing can reach you now, not lead or steel\n\nor what life itself eventually reveals.\n\n ",Michael Gessner,Sorrow & Grieving,0
Fiddlers at the Desert Valley County Care Center,"Among physicians rich in their death watch\n\nIn hallways crowded with locked wheelchairs,\n\nCradles of a century’s platitudes,\n\nThe stale air smelling of disinfectant\n\nAnd weeping wounds enough to stupefy nurses,\n\nAmong the staring insomniacs of the day room,\n\nThe stroke victims on their rented gurneys,\n\nComplaining orderlies and rattling carts\n\n \n\nAmong these in this place my father lay\n\nAt the end of everything\n\n \n\nIn the curved landscapes of white sheets\n\nAbandoned finally by parents, his son,\n\n \n\nThe loyal company, old friends, his death\n\nA sign of other deaths too soon to come\n\n \n\nUnable to recall one life, his thoughts,\n\nFeatures, he lay unknown to himself,\n\n \n\nThe tall hunter of pheasants out with his boy\n\nIn vellum corn and brassy orchards\n\n \n\nIn an autumn that never was, the proud\n\nWhite-collared Ford employee lay on a bed\n\n \n\nToo short for legs tattooed with red burn-rings\n\nFrom daily syringes of Cytosar\n\n \n\nConsidered useless, still a requirement\n\nFor state funding for a body described\n\n \n\nLeukemic waiting for Saturday's fiddlers\n\nWho came to raise the spirits of the dead\n\n \n\nWith a music he never cared for turned\n\nSuddenly attractive, he found genius,\n\n \n\nTheirs or his like some lyrical phosphor\n\nThat shapes itself in the dry night air\n\n \n\nTo make a thing then make it disappear\n\nHe lay listening to the county fiddlers\n\n \n\nAt the end of every purpose, act and form\n\nI leave you here, my father, in perfect accord.\n\n ",Michael Gessner,"Death,Sorrow & Grieving",1
